review_tokens_stemmed,Sentimen,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
wtf pas buka tutup nyata yang puter malah ke tempat moisturizernya langsung tumpah tengah,Negatif,"{'classified_text': 'wtf [-4] pas buka tutup nyata yang puter malah ke tempat moisturizernya langsung tumpah tengah', 'tweet_text': ' wtf pas buka tutup nyata yang puter malah ke tempat moisturizernya langsung tumpah tengah', 'sentence_score': ['wtf [-4] pas buka tutup nyata yang puter malah ke tempat moisturizernya langsung tumpah tengah'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",wtf [-4] pas buka tutup nyata yang puter malah ke tempat moisturizernya langsung tumpah tengah, wtf pas buka tutup nyata yang puter malah ke tempat moisturizernya langsung tumpah tengah,['wtf [-4] pas buka tutup nyata yang puter malah ke tempat moisturizernya langsung tumpah tengah'],1,-4,negatif
isi tidak sesuai,Negatif,"{'classified_text': 'isi tidak sesuai [-3]', 'tweet_text': ' isi tidak sesuai', 'sentence_score': ['isi tidak sesuai [-3]'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}",isi tidak sesuai [-3], isi tidak sesuai,['isi tidak sesuai [-3]'],1,-3,negatif
thanks,Positif,"{'classified_text': 'thanks', 'tweet_text': ' thanks', 'sentence_score': ['thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",thanks, thanks,['thanks'],1,-1,netral
well received thanks,Positif,"{'classified_text': 'well received thanks', 'tweet_text': ' well received thanks', 'sentence_score': ['well received thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",well received thanks, well received thanks,['well received thanks'],1,-1,netral
barang sampai dengan aman cuma di aku agak ke abuan dikit tapi masih bisa toleransi thanks ya,Positif,"{'classified_text': 'barang sampai dengan aman [4] cuma [-2] di aku agak ke abuan dikit tapi masih bisa toleransi [4] thanks ya', 'tweet_text': ' barang sampai dengan aman cuma di aku agak ke abuan dikit tapi masih bisa toleransi thanks ya', 'sentence_score': ['barang sampai dengan aman [4] cuma [-2] di aku agak ke abuan dikit tapi masih bisa toleransi [4] thanks ya'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}",barang sampai dengan aman [4] cuma [-2] di aku agak ke abuan dikit tapi masih bisa toleransi [4] thanks ya, barang sampai dengan aman cuma di aku agak ke abuan dikit tapi masih bisa toleransi thanks ya,['barang sampai dengan aman [4] cuma [-2] di aku agak ke abuan dikit tapi masih bisa toleransi [4] thanks ya'],4,-2,positif
produk biasa saja tapi yang paling parah layan sangat tidak muas tidak helpfull tidak customer oriented hati kalau belanja sini salah sedikit saja bakal fatal,Negatif,"{'classified_text': 'produk biasa [-2] saja tapi yang paling parah [-6] layan sangat tidak muas tidak helpfull tidak customer oriented hati kalau belanja sini salah [-2] sedikit saja bakal fatal', 'tweet_text': ' produk biasa saja tapi yang paling parah layan sangat tidak muas tidak helpfull tidak customer oriented hati kalau belanja sini salah sedikit saja bakal fatal', 'sentence_score': ['produk biasa [-2] saja tapi yang paling parah [-6] layan sangat tidak muas tidak helpfull tidak customer oriented hati kalau belanja sini salah [-2] sedikit saja bakal fatal'], 'max_positive': 1, 'max_negative': -6, 'kelas': 'negatif'}",produk biasa [-2] saja tapi yang paling parah [-6] layan sangat tidak muas tidak helpfull tidak customer oriented hati kalau belanja sini salah [-2] sedikit saja bakal fatal, produk biasa saja tapi yang paling parah layan sangat tidak muas tidak helpfull tidak customer oriented hati kalau belanja sini salah sedikit saja bakal fatal,['produk biasa [-2] saja tapi yang paling parah [-6] layan sangat tidak muas tidak helpfull tidak customer oriented hati kalau belanja sini salah [-2] sedikit saja bakal fatal'],1,-6,negatif
kata check out jam dapat lama tau enggak bohong banget buat yang mau check out jangan percaya ya,Negatif,"{'classified_text': 'kata check out jam dapat lama [-2] tau enggak bohong banget buat yang mau check out jangan percaya [-4] ya', 'tweet_text': ' kata check out jam dapat lama tau enggak bohong banget buat yang mau check out jangan percaya ya', 'sentence_score': ['kata check out jam dapat lama [-2] tau enggak bohong banget buat yang mau check out jangan percaya [-4] ya'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",kata check out jam dapat lama [-2] tau enggak bohong banget buat yang mau check out jangan percaya [-4] ya, kata check out jam dapat lama tau enggak bohong banget buat yang mau check out jangan percaya ya,['kata check out jam dapat lama [-2] tau enggak bohong banget buat yang mau check out jangan percaya [-4] ya'],1,-4,negatif
kecewa pesan saya batal yang lain tidak akan pernah mau beli lagi terima kasih alas saya beli di toko ini adalah karena harga dari pusat normal sedang beli di reseller harga lambung jauh sampai ribu kecewa sudah ganti produk eye care lain terima kasih saya beli tetapi batal sama somethinc jahat banget pesan pakai usaha juga kalau tidak beli eye game changer ini di sini mau beli mana lagi di stockist harga beda ribu ribu terima kasih belum lagi kadang pre order sungguh kecewa saya beli di official mana pun bisa beli banyak terima kasih,Negatif,"{'classified_text': 'kecewa [-3] pesan saya batal yang lain tidak akan pernah mau beli lagi terima kasih [4] alas saya beli di toko ini adalah karena harga dari pusat normal [-1] sedang beli di reseller harga lambung jauh [-2] sampai ribu kecewa [-3] sudah ganti produk eye care lain terima kasih [4] saya beli tetapi batal sama somethinc jahat [-5] banget pesan pakai usaha juga kalau tidak beli eye game changer ini di sini mau beli mana [-4] lagi di stockist harga beda ribu ribu terima kasih [4] belum lagi kadang pre order sungguh kecewa [-4] saya beli di official mana [-4] pun bisa beli banyak terima kasih [4]', 'tweet_text': ' kecewa pesan saya batal yang lain tidak akan pernah mau beli lagi terima kasih alas saya beli di toko ini adalah karena harga dari pusat normal sedang beli di reseller harga lambung jauh sampai ribu kecewa sudah ganti produk eye care lain terima kasih saya beli tetapi batal sama somethinc jahat banget pesan pakai usaha juga kalau tidak beli eye game changer ini di sini mau beli mana lagi di stockist harga beda ribu ribu terima kasih belum lagi kadang pre order sungguh kecewa saya beli di official mana pun bisa beli banyak terima kasih', 'sentence_score': ['kecewa [-3] pesan saya batal yang lain tidak akan pernah mau beli lagi terima kasih [4] alas saya beli di toko ini adalah karena harga dari pusat normal [-1] sedang beli di reseller harga lambung jauh [-2] sampai ribu kecewa [-3] sudah ganti produk eye care lain terima kasih [4] saya beli tetapi batal sama somethinc jahat [-5] banget pesan pakai usaha juga kalau tidak beli eye game changer ini di sini mau beli mana [-4] lagi di stockist harga beda ribu ribu terima kasih [4] belum lagi kadang pre order sungguh kecewa [-4] saya beli di official mana [-4] pun bisa beli banyak terima kasih [4]'], 'max_positive': 4, 'max_negative': -5, 'kelas': 'negatif'}",kecewa [-3] pesan saya batal yang lain tidak akan pernah mau beli lagi terima kasih [4] alas saya beli di toko ini adalah karena harga dari pusat normal [-1] sedang beli di reseller harga lambung jauh [-2] sampai ribu kecewa [-3] sudah ganti produk eye care lain terima kasih [4] saya beli tetapi batal sama somethinc jahat [-5] banget pesan pakai usaha juga kalau tidak beli eye game changer ini di sini mau beli mana [-4] lagi di stockist harga beda ribu ribu terima kasih [4] belum lagi kadang pre order sungguh kecewa [-4] saya beli di official mana [-4] pun bisa beli banyak terima kasih [4], kecewa pesan saya batal yang lain tidak akan pernah mau beli lagi terima kasih alas saya beli di toko ini adalah karena harga dari pusat normal sedang beli di reseller harga lambung jauh sampai ribu kecewa sudah ganti produk eye care lain terima kasih saya beli tetapi batal sama somethinc jahat banget pesan pakai usaha juga kalau tidak beli eye game changer ini di sini mau beli mana lagi di stockist harga beda ribu ribu terima kasih belum lagi kadang pre order sungguh kecewa saya beli di official mana pun bisa beli banyak terima kasih,['kecewa [-3] pesan saya batal yang lain tidak akan pernah mau beli lagi terima kasih [4] alas saya beli di toko ini adalah karena harga dari pusat normal [-1] sedang beli di reseller harga lambung jauh [-2] sampai ribu kecewa [-3] sudah ganti produk eye care lain terima kasih [4] saya beli tetapi batal sama somethinc jahat [-5] banget pesan pakai usaha juga kalau tidak beli eye game changer ini di sini mau beli mana [-4] lagi di stockist harga beda ribu ribu terima kasih [4] belum lagi kadang pre order sungguh kecewa [-4] saya beli di official mana [-4] pun bisa beli banyak terima kasih [4]'],4,-5,negatif
itu beautiful package bintang buat safety nya,Positif,"{'classified_text': 'itu beautiful package bintang buat safety nya', 'tweet_text': ' itu beautiful package bintang buat safety nya', 'sentence_score': ['itu beautiful package bintang buat safety nya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",itu beautiful package bintang buat safety nya, itu beautiful package bintang buat safety nya,['itu beautiful package bintang buat safety nya'],1,-1,netral
kirim agak lama karena beda provinsi tapi gapapa packingnya aman banget moga cocok dan bisa baik kulit aku tipe kulit minyak,Negatif,"{'classified_text': 'kirim agak lama [-1] karena beda provinsi tapi gapapa packingnya aman [5] banget moga cocok [3] dan bisa baik [4] kulit aku tipe kulit minyak', 'tweet_text': ' kirim agak lama karena beda provinsi tapi gapapa packingnya aman banget moga cocok dan bisa baik kulit aku tipe kulit minyak', 'sentence_score': ['kirim agak lama [-1] karena beda provinsi tapi gapapa packingnya aman [5] banget moga cocok [3] dan bisa baik [4] kulit aku tipe kulit minyak'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",kirim agak lama [-1] karena beda provinsi tapi gapapa packingnya aman [5] banget moga cocok [3] dan bisa baik [4] kulit aku tipe kulit minyak, kirim agak lama karena beda provinsi tapi gapapa packingnya aman banget moga cocok dan bisa baik kulit aku tipe kulit minyak,['kirim agak lama [-1] karena beda provinsi tapi gapapa packingnya aman [5] banget moga cocok [3] dan bisa baik [4] kulit aku tipe kulit minyak'],5,-1,positif
top,Positif,"{'classified_text': 'top [4]', 'tweet_text': ' top', 'sentence_score': ['top [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",top [4], top,['top [4]'],4,-1,positif
tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi masalah kulit kerut masalah kulit jerawat masalah kulit pori besar tipe kulit sensitif,Positif,"{'classified_text': 'tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi masalah [-4] kulit kerut [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3] tipe kulit sensitif [-2]', 'tweet_text': ' tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi masalah kulit kerut masalah kulit jerawat masalah kulit pori besar tipe kulit sensitif', 'sentence_score': ['tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi masalah [-4] kulit kerut [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3] tipe kulit sensitif [-2]'], 'max_positive': 3, 'max_negative': -5, 'kelas': 'negatif'}",tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi masalah [-4] kulit kerut [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3] tipe kulit sensitif [-2], tipe kulit minyak tipe kulit kering tipe kulit normal tipe kulit kombinasi masalah kulit kerut masalah kulit jerawat masalah kulit pori besar tipe kulit sensitif,['tipe kulit minyak tipe kulit kering tipe kulit normal [-1] tipe kulit kombinasi masalah [-4] kulit kerut [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3] tipe kulit sensitif [-2]'],3,-5,negatif
exp,Positif,"{'classified_text': 'exp', 'tweet_text': ' exp', 'sentence_score': ['exp'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",exp, exp,['exp'],1,-1,netral
pertama banget dulu sih beli bagus banget ya di muka waktu itu kemas masih biru mungkin sekitar tahun yang lalu masih belum viral perskincare an semenjak hamil sudah stop pakai produk bayi saja ini mau coba lagi karena kangen sensasi waktu pakai dulu memang feelnya beda tapi moga ngaruh di jerawat yang suka muncul tiba tiba,Netral,"{'classified_text': 'pertama banget dulu sih beli bagus [5] banget ya di muka waktu itu kemas masih biru mungkin sekitar tahun yang lalu masih belum viral perskincare an semenjak hamil sudah stop pakai produk bayi saja ini mau coba lagi karena kangen [4] sensasi [-2] waktu pakai dulu memang feelnya beda tapi moga ngaruh di jerawat yang suka [4] muncul tiba tiba', 'tweet_text': ' pertama banget dulu sih beli bagus banget ya di muka waktu itu kemas masih biru mungkin sekitar tahun yang lalu masih belum viral perskincare an semenjak hamil sudah stop pakai produk bayi saja ini mau coba lagi karena kangen sensasi waktu pakai dulu memang feelnya beda tapi moga ngaruh di jerawat yang suka muncul tiba tiba', 'sentence_score': ['pertama banget dulu sih beli bagus [5] banget ya di muka waktu itu kemas masih biru mungkin sekitar tahun yang lalu masih belum viral perskincare an semenjak hamil sudah stop pakai produk bayi saja ini mau coba lagi karena kangen [4] sensasi [-2] waktu pakai dulu memang feelnya beda tapi moga ngaruh di jerawat yang suka [4] muncul tiba tiba'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}",pertama banget dulu sih beli bagus [5] banget ya di muka waktu itu kemas masih biru mungkin sekitar tahun yang lalu masih belum viral perskincare an semenjak hamil sudah stop pakai produk bayi saja ini mau coba lagi karena kangen [4] sensasi [-2] waktu pakai dulu memang feelnya beda tapi moga ngaruh di jerawat yang suka [4] muncul tiba tiba, pertama banget dulu sih beli bagus banget ya di muka waktu itu kemas masih biru mungkin sekitar tahun yang lalu masih belum viral perskincare an semenjak hamil sudah stop pakai produk bayi saja ini mau coba lagi karena kangen sensasi waktu pakai dulu memang feelnya beda tapi moga ngaruh di jerawat yang suka muncul tiba tiba,['pertama banget dulu sih beli bagus [5] banget ya di muka waktu itu kemas masih biru mungkin sekitar tahun yang lalu masih belum viral perskincare an semenjak hamil sudah stop pakai produk bayi saja ini mau coba lagi karena kangen [4] sensasi [-2] waktu pakai dulu memang feelnya beda tapi moga ngaruh di jerawat yang suka [4] muncul tiba tiba'],5,-2,positif
tipe kulit minyak tipe kulit normal tipe kulit kering tipe kulit kombinasi masalah kulit jerawat masalah kulit kerut masalah kulit pori besar tipe kulit sensitif,Positif,"{'classified_text': 'tipe kulit minyak tipe kulit normal [-1] tipe kulit kering tipe kulit kombinasi masalah [-4] kulit jerawat masalah [-4] kulit kerut [-2] masalah [-5] kulit pori besar [3] tipe kulit sensitif [-2]', 'tweet_text': ' tipe kulit minyak tipe kulit normal tipe kulit kering tipe kulit kombinasi masalah kulit jerawat masalah kulit kerut masalah kulit pori besar tipe kulit sensitif', 'sentence_score': ['tipe kulit minyak tipe kulit normal [-1] tipe kulit kering tipe kulit kombinasi masalah [-4] kulit jerawat masalah [-4] kulit kerut [-2] masalah [-5] kulit pori besar [3] tipe kulit sensitif [-2]'], 'max_positive': 3, 'max_negative': -5, 'kelas': 'negatif'}",tipe kulit minyak tipe kulit normal [-1] tipe kulit kering tipe kulit kombinasi masalah [-4] kulit jerawat masalah [-4] kulit kerut [-2] masalah [-5] kulit pori besar [3] tipe kulit sensitif [-2], tipe kulit minyak tipe kulit normal tipe kulit kering tipe kulit kombinasi masalah kulit jerawat masalah kulit kerut masalah kulit pori besar tipe kulit sensitif,['tipe kulit minyak tipe kulit normal [-1] tipe kulit kering tipe kulit kombinasi masalah [-4] kulit jerawat masalah [-4] kulit kerut [-2] masalah [-5] kulit pori besar [3] tipe kulit sensitif [-2]'],3,-5,negatif
barang sesuai pesan,Positif,"{'classified_text': 'barang sesuai [3] pesan', 'tweet_text': ' barang sesuai pesan', 'sentence_score': ['barang sesuai [3] pesan'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",barang sesuai [3] pesan, barang sesuai pesan,['barang sesuai [3] pesan'],3,-1,positif
kirim oke saran untuk facial wash nya mungkin perlu tambah fragrance biar bau lebih enak soal bau kurang begitu nyaman guna,Positif,"{'classified_text': 'kirim oke [3] saran untuk facial wash nya mungkin perlu tambah fragrance biar bau [-5] lebih enak [5] soal bau [-2] kurang [-2] begitu nyaman [4] guna', 'tweet_text': ' kirim oke saran untuk facial wash nya mungkin perlu tambah fragrance biar bau lebih enak soal bau kurang begitu nyaman guna', 'sentence_score': ['kirim oke [3] saran untuk facial wash nya mungkin perlu tambah fragrance biar bau [-5] lebih enak [5] soal bau [-2] kurang [-2] begitu nyaman [4] guna'], 'max_positive': 5, 'max_negative': -5, 'kelas': 'netral'}",kirim oke [3] saran untuk facial wash nya mungkin perlu tambah fragrance biar bau [-5] lebih enak [5] soal bau [-2] kurang [-2] begitu nyaman [4] guna, kirim oke saran untuk facial wash nya mungkin perlu tambah fragrance biar bau lebih enak soal bau kurang begitu nyaman guna,['kirim oke [3] saran untuk facial wash nya mungkin perlu tambah fragrance biar bau [-5] lebih enak [5] soal bau [-2] kurang [-2] begitu nyaman [4] guna'],5,-5,netral
moga cocok soal dulu cocok banget pakai ini,Positif,"{'classified_text': 'moga cocok [3] soal dulu cocok [4] banget pakai ini', 'tweet_text': ' moga cocok soal dulu cocok banget pakai ini', 'sentence_score': ['moga cocok [3] soal dulu cocok [4] banget pakai ini'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",moga cocok [3] soal dulu cocok [4] banget pakai ini, moga cocok soal dulu cocok banget pakai ini,['moga cocok [3] soal dulu cocok [4] banget pakai ini'],4,-1,positif
kirim cepat mantap,Netral,"{'classified_text': 'kirim cepat [4] mantap [5]', 'tweet_text': ' kirim cepat mantap', 'sentence_score': ['kirim cepat [4] mantap [5]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",kirim cepat [4] mantap [5], kirim cepat mantap,['kirim cepat [4] mantap [5]'],5,-1,positif
alhamdulillah sudah sampai barang dan emas barang juga ok thank you kurir sicepat team avoskin,Negatif,"{'classified_text': 'alhamdulillah sudah sampai barang dan emas [4] barang juga ok [1] thank you kurir sicepat team avoskin', 'tweet_text': ' alhamdulillah sudah sampai barang dan emas barang juga ok thank you kurir sicepat team avoskin', 'sentence_score': ['alhamdulillah sudah sampai barang dan emas [4] barang juga ok [1] thank you kurir sicepat team avoskin'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",alhamdulillah sudah sampai barang dan emas [4] barang juga ok [1] thank you kurir sicepat team avoskin, alhamdulillah sudah sampai barang dan emas barang juga ok thank you kurir sicepat team avoskin,['alhamdulillah sudah sampai barang dan emas [4] barang juga ok [1] thank you kurir sicepat team avoskin'],4,-1,positif
bahan gampang serap,Netral,"{'classified_text': 'bahan gampang serap', 'tweet_text': ' bahan gampang serap', 'sentence_score': ['bahan gampang serap'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",bahan gampang serap, bahan gampang serap,['bahan gampang serap'],1,-1,netral
bagus,Netral,"{'classified_text': 'bagus [4]', 'tweet_text': ' bagus', 'sentence_score': ['bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",bagus [4], bagus,['bagus [4]'],4,-1,positif
bagus,Netral,"{'classified_text': 'bagus [4]', 'tweet_text': ' bagus', 'sentence_score': ['bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",bagus [4], bagus,['bagus [4]'],4,-1,positif
oke,Negatif,"{'classified_text': 'oke [3]', 'tweet_text': ' oke', 'sentence_score': ['oke [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",oke [3], oke,['oke [3]'],3,-1,positif
dapat gratis mini pouch terima kasih moga cocok,Netral,"{'classified_text': 'dapat gratis mini pouch terima kasih [4] moga cocok [3]', 'tweet_text': ' dapat gratis mini pouch terima kasih moga cocok', 'sentence_score': ['dapat gratis mini pouch terima kasih [4] moga cocok [3]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",dapat gratis mini pouch terima kasih [4] moga cocok [3], dapat gratis mini pouch terima kasih moga cocok,['dapat gratis mini pouch terima kasih [4] moga cocok [3]'],4,-1,positif
alhamdulillah barang sudah sampai moga cocok dan selau dapat harga diskon yes,Negatif,"{'classified_text': 'alhamdulillah barang sudah sampai moga cocok [3] dan selau dapat harga diskon yes', 'tweet_text': ' alhamdulillah barang sudah sampai moga cocok dan selau dapat harga diskon yes', 'sentence_score': ['alhamdulillah barang sudah sampai moga cocok [3] dan selau dapat harga diskon yes'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",alhamdulillah barang sudah sampai moga cocok [3] dan selau dapat harga diskon yes, alhamdulillah barang sudah sampai moga cocok dan selau dapat harga diskon yes,['alhamdulillah barang sudah sampai moga cocok [3] dan selau dapat harga diskon yes'],3,-1,positif
cocok sama produk,Positif,"{'classified_text': 'cocok [3] sama produk', 'tweet_text': ' cocok sama produk', 'sentence_score': ['cocok [3] sama produk'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",cocok [3] sama produk, cocok sama produk,['cocok [3] sama produk'],3,-1,positif
sudah kali kali beli di toko official ini dan tiap kali beli selalu amanah thanks,Positif,"{'classified_text': 'sudah kali kali beli di toko official ini dan tiap kali beli selalu amanah thanks', 'tweet_text': ' sudah kali kali beli di toko official ini dan tiap kali beli selalu amanah thanks', 'sentence_score': ['sudah kali kali beli di toko official ini dan tiap kali beli selalu amanah thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",sudah kali kali beli di toko official ini dan tiap kali beli selalu amanah thanks, sudah kali kali beli di toko official ini dan tiap kali beli selalu amanah thanks,['sudah kali kali beli di toko official ini dan tiap kali beli selalu amanah thanks'],1,-1,netral
barang nya oke,Positif,"{'classified_text': 'barang nya oke [3]', 'tweet_text': ' barang nya oke', 'sentence_score': ['barang nya oke [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",barang nya oke [3], barang nya oke,['barang nya oke [3]'],3,-1,positif
repeat order,Netral,"{'classified_text': 'repeat order', 'tweet_text': ' repeat order', 'sentence_score': ['repeat order'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",repeat order, repeat order,['repeat order'],1,-1,netral
masalah kulit pori besar,Negatif,"{'classified_text': 'masalah [-4] kulit pori besar [3]', 'tweet_text': ' masalah kulit pori besar', 'sentence_score': ['masalah [-4] kulit pori besar [3]'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}",masalah [-4] kulit pori besar [3], masalah kulit pori besar,['masalah [-4] kulit pori besar [3]'],3,-4,negatif
ini beda nih dari pertama beli first time coba jatuh cinta banget waktu itu pilih shade strawberrypine sama raspberry muffin terus ini beli dua rasa ini formula beda banget ini lebih minyak tapi short lasting masa iya habis minum air hilang lah coba itu rugi dong sudah aku pindah haluan saja byeee,Negatif,"{'classified_text': 'ini beda nih dari pertama beli first time coba jatuh [-3] cinta [6] banget waktu itu pilih shade strawberrypine sama raspberry muffin terus ini beli dua rasa ini formula beda banget ini lebih minyak tapi short lasting masa iya habis minum air hilang [-3] lah coba itu rugi [-4] dong sudah aku pindah haluan saja bye', 'tweet_text': ' ini beda nih dari pertama beli first time coba jatuh cinta banget waktu itu pilih shade strawberrypine sama raspberry muffin terus ini beli dua rasa ini formula beda banget ini lebih minyak tapi short lasting masa iya habis minum air hilang lah coba itu rugi dong sudah aku pindah haluan saja bye', 'sentence_score': ['ini beda nih dari pertama beli first time coba jatuh [-3] cinta [6] banget waktu itu pilih shade strawberrypine sama raspberry muffin terus ini beli dua rasa ini formula beda banget ini lebih minyak tapi short lasting masa iya habis minum air hilang [-3] lah coba itu rugi [-4] dong sudah aku pindah haluan saja bye'], 'max_positive': 6, 'max_negative': -4, 'kelas': 'positif'}",ini beda nih dari pertama beli first time coba jatuh [-3] cinta [6] banget waktu itu pilih shade strawberrypine sama raspberry muffin terus ini beli dua rasa ini formula beda banget ini lebih minyak tapi short lasting masa iya habis minum air hilang [-3] lah coba itu rugi [-4] dong sudah aku pindah haluan saja bye, ini beda nih dari pertama beli first time coba jatuh cinta banget waktu itu pilih shade strawberrypine sama raspberry muffin terus ini beli dua rasa ini formula beda banget ini lebih minyak tapi short lasting masa iya habis minum air hilang lah coba itu rugi dong sudah aku pindah haluan saja bye,['ini beda nih dari pertama beli first time coba jatuh [-3] cinta [6] banget waktu itu pilih shade strawberrypine sama raspberry muffin terus ini beli dua rasa ini formula beda banget ini lebih minyak tapi short lasting masa iya habis minum air hilang [-3] lah coba itu rugi [-4] dong sudah aku pindah haluan saja bye'],6,-4,positif
tipe kulit minyak tipe kulit sensitif masalah kulit jerawat masalah kulit pori besar overall worth itu,Netral,"{'classified_text': 'tipe kulit minyak tipe kulit sensitif [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3] overall worth itu', 'tweet_text': ' tipe kulit minyak tipe kulit sensitif masalah kulit jerawat masalah kulit pori besar overall worth itu', 'sentence_score': ['tipe kulit minyak tipe kulit sensitif [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3] overall worth itu'], 'max_positive': 3, 'max_negative': -5, 'kelas': 'negatif'}",tipe kulit minyak tipe kulit sensitif [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3] overall worth itu, tipe kulit minyak tipe kulit sensitif masalah kulit jerawat masalah kulit pori besar overall worth itu,['tipe kulit minyak tipe kulit sensitif [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3] overall worth itu'],3,-5,negatif
cepat kirim baik ada bubble warp,Netral,"{'classified_text': 'cepat [4] kirim baik [4] ada bubble warp', 'tweet_text': ' cepat kirim baik ada bubble warp', 'sentence_score': ['cepat [4] kirim baik [4] ada bubble warp'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",cepat [4] kirim baik [4] ada bubble warp, cepat kirim baik ada bubble warp,['cepat [4] kirim baik [4] ada bubble warp'],4,-1,positif
tipe kulit sensitif masalah kulit jerawat masalah kulit pori besar,Netral,"{'classified_text': 'tipe kulit sensitif [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3]', 'tweet_text': ' tipe kulit sensitif masalah kulit jerawat masalah kulit pori besar', 'sentence_score': ['tipe kulit sensitif [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3]'], 'max_positive': 3, 'max_negative': -5, 'kelas': 'negatif'}",tipe kulit sensitif [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3], tipe kulit sensitif masalah kulit jerawat masalah kulit pori besar,['tipe kulit sensitif [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3]'],3,-5,negatif
dapat harga ceban yay belum coba,Netral,"{'classified_text': 'dapat harga ceban yay belum coba', 'tweet_text': ' dapat harga ceban yay belum coba', 'sentence_score': ['dapat harga ceban yay belum coba'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",dapat harga ceban yay belum coba, dapat harga ceban yay belum coba,['dapat harga ceban yay belum coba'],1,-1,netral
beli sekian kali cocok di muka apalagi kalo pas jerawat kulit tetap bisa nafas,Netral,"{'classified_text': 'beli sekian kali cocok [4] di muka apalagi kalo pas jerawat kulit tetap bisa nafas', 'tweet_text': ' beli sekian kali cocok di muka apalagi kalo pas jerawat kulit tetap bisa nafas', 'sentence_score': ['beli sekian kali cocok [4] di muka apalagi kalo pas jerawat kulit tetap bisa nafas'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",beli sekian kali cocok [4] di muka apalagi kalo pas jerawat kulit tetap bisa nafas, beli sekian kali cocok di muka apalagi kalo pas jerawat kulit tetap bisa nafas,['beli sekian kali cocok [4] di muka apalagi kalo pas jerawat kulit tetap bisa nafas'],4,-1,positif
nyata dapat ya baru pertama kali moga cocok,Netral,"{'classified_text': 'nyata dapat ya baru pertama kali moga cocok [3]', 'tweet_text': ' nyata dapat ya baru pertama kali moga cocok', 'sentence_score': ['nyata dapat ya baru pertama kali moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",nyata dapat ya baru pertama kali moga cocok [3], nyata dapat ya baru pertama kali moga cocok,['nyata dapat ya baru pertama kali moga cocok [3]'],3,-1,positif
