,Review,Sentimen,Review_norm,review_tokens,review_tokens_stemmed
86,warnanya kuning kiri padahal baru dibuka punya saya sudah pemakaian bulan kanan masih bening,Negatif,warnanya kuning kiri padahal baru dibuka punya saya sudah pemakaian bulan kanan masih bening,"['warnanya', 'kuning', 'kiri', 'padahal', 'baru', 'dibuka', 'punya', 'saya', 'sudah', 'pemakaian', 'bulan', 'kanan', 'masih', 'bening']","['warna', 'kuning', 'kiri', 'padahal', 'baru', 'buka', 'punya', 'saya', 'sudah', 'pakai', 'bulan', 'kanan', 'masih', 'bening']"
87,bener jadi geprek gak pake bubble wrap sama sekali hancur semua,Negatif,benar jadi geprek enggak pakai bubble wrap sama sekali hancur semua,"['benar', 'jadi', 'geprek', 'enggak', 'pakai', 'bubble', 'wrap', 'sama', 'sekali', 'hancur', 'semua']","['benar', 'jadi', 'geprek', 'enggak', 'pakai', 'bubble', 'wrap', 'sama', 'sekali', 'hancur', 'semua']"
88,belum coba pertama kali beli semoga cocok bintang ini diberikan untuk respon admin dan pengantaran pesanan yg baik dan cepat,Positif,belum coba pertama kali beli semoga cocok bintang ini diberikan untuk respon admin dan pengantaran pesanan yang baik dan cepat,"['belum', 'coba', 'pertama', 'kali', 'beli', 'semoga', 'cocok', 'bintang', 'ini', 'diberikan', 'untuk', 'respon', 'admin', 'dan', 'pengantaran', 'pesanan', 'yang', 'baik', 'dan', 'cepat']","['belum', 'coba', 'pertama', 'kali', 'beli', 'moga', 'cocok', 'bintang', 'ini', 'beri', 'untuk', 'respon', 'admin', 'dan', 'antar', 'pesan', 'yang', 'baik', 'dan', 'cepat']"
89,fast response on time delivery,Positif,fast response on time delivery,"['fast', 'response', 'on', 'time', 'delivery']","['fast', 'response', 'on', 'time', 'delivery']"
90,blm coba semoga cocok,Positif,belum coba semoga cocok,"['belum', 'coba', 'semoga', 'cocok']","['belum', 'coba', 'moga', 'cocok']"
91,tipe kulitku berminyak masalah kulitku pori besar,Netral,tipe kulitku berminyak masalah kulitku pori besar,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulit', 'minyak', 'masalah', 'kulit', 'pori', 'besar']"
92,semoga cocok  makasih bonusnya,Positif,semoga cocok  terima kasih bonusnya,"['semoga', 'cocok', 'terima', 'kasih', 'bonusnya']","['moga', 'cocok', 'terima', 'kasih', 'bonus']"
93,barang tidak saya terima sampai sekarang kurir ditanya balesnya lama karna pengiriman dipindahtangankan sama kurir pertama kecewa saya pdhal alamat sudah sesuai dan  biasanya begini tolong kak dikomplain bagian ekspedisi pengirimannya trimakasih,Negatif,barang tidak saya terima sampai sekarang kurir ditanya balesnya lama karena pengiriman dipindahtangankan sama kurir pertama kecewa saya padahal alamat sudah sesuai dan  biasanya begini tolong kak dikomplain bagian ekspedisi pengirimannya terima kasih,"['barang', 'tidak', 'saya', 'terima', 'sampai', 'sekarang', 'kurir', 'ditanya', 'balesnya', 'lama', 'karena', 'pengiriman', 'dipindahtangankan', 'sama', 'kurir', 'pertama', 'kecewa', 'saya', 'padahal', 'alamat', 'sudah', 'sesuai', 'dan', 'biasanya', 'begini', 'tolong', 'kak', 'dikomplain', 'bagian', 'ekspedisi', 'pengirimannya', 'terima', 'kasih']","['barang', 'tidak', 'saya', 'terima', 'sampai', 'sekarang', 'kurir', 'tanya', 'balesnya', 'lama', 'karena', 'kirim', 'dipindahtangankan', 'sama', 'kurir', 'pertama', 'kecewa', 'saya', 'padahal', 'alamat', 'sudah', 'sesuai', 'dan', 'biasa', 'begini', 'tolong', 'kak', 'komplain', 'bagi', 'ekspedisi', 'kirim', 'terima', 'kasih']"
94,engga cocok mukaku tambah jerawat parah,Negatif,enggak cocok mukaku tambah jerawat parah,"['enggak', 'cocok', 'mukaku', 'tambah', 'jerawat', 'parah']","['enggak', 'cocok', 'muka', 'tambah', 'jerawat', 'parah']"
95,hadiahnya bohongan,Negatif,hadiahnya bohongan,"['hadiahnya', 'bohongan']","['hadiah', 'bohong']"
96,bohong,Negatif,berbohong,['berbohong'],['bohong']
97,baru mau coba semoga cocok tipe kulitku kombinasi masalah kulitku jerawat,Positif,baru mau coba semoga cocok tipe kulitku kombinasi masalah kulitku jerawat,"['baru', 'mau', 'coba', 'semoga', 'cocok', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat']","['baru', 'mau', 'coba', 'moga', 'cocok', 'tipe', 'kulit', 'kombinasi', 'masalah', 'kulit', 'jerawat']"
98,okeee,Positif,oke,['oke'],['oke']
99,tipe kulitku kering tipe kulitku normal,Netral,tipe kulitku kering tipe kulitku normal,"['tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'normal']","['tipe', 'kulit', 'kering', 'tipe', 'kulit', 'normal']"
100,pertama kali nyobain dgn warna kulit saya yg cenderung agak gelap awalnya saya pikir bakal jomplang pas dipake tp ternyata blend bgt ma kulit warnanya jd agak lbh cerah tp bukan jd tone up jg teksturnya ky foundy cair cpt nyerap awalnya ky mate pas udah kering tp lama jd glow up,Positif,pertama kali mencoba dengan warna kulit saya yang cenderung agak gelap awalnya saya pikir bakal jomplang pas dipakai tapi ternyata blend banget sama kulit warnanya jadi agak lebih cerah tapi bukan jadi tone up juga teksturnya kaya foundy cair cepat nyerap awalnya kaya mate pas sudah kering tapi lama jadi glow up,"['pertama', 'kali', 'mencoba', 'dengan', 'warna', 'kulit', 'saya', 'yang', 'cenderung', 'agak', 'gelap', 'awalnya', 'saya', 'pikir', 'bakal', 'jomplang', 'pas', 'dipakai', 'tapi', 'ternyata', 'blend', 'banget', 'sama', 'kulit', 'warnanya', 'jadi', 'agak', 'lebih', 'cerah', 'tapi', 'bukan', 'jadi', 'tone', 'up', 'juga', 'teksturnya', 'kaya', 'foundy', 'cair', 'cepat', 'nyerap', 'awalnya', 'kaya', 'mate', 'pas', 'sudah', 'kering', 'tapi', 'lama', 'jadi', 'glow', 'up']","['pertama', 'kali', 'coba', 'dengan', 'warna', 'kulit', 'saya', 'yang', 'cenderung', 'agak', 'gelap', 'awal', 'saya', 'pikir', 'bakal', 'jomplang', 'pas', 'pakai', 'tapi', 'nyata', 'blend', 'banget', 'sama', 'kulit', 'warna', 'jadi', 'agak', 'lebih', 'cerah', 'tapi', 'bukan', 'jadi', 'tone', 'up', 'juga', 'tekstur', 'kaya', 'foundy', 'cair', 'cepat', 'nyerap', 'awal', 'kaya', 'mate', 'pas', 'sudah', 'kering', 'tapi', 'lama', 'jadi', 'glow', 'up']"
101,kynya udah botol ke apa gt secocok itu dikulit saya yg normal cenderung kering enaknya krn ga ada white cast ato tone up jd ga berasa cemong dikulit saya yg putih,Positif,sepertinya sudah botol ke apa begitu secocok itu dikulit saya yang normal cenderung kering enaknya karena enggak ada white cast atau tone up jadi enggak berasa cemong dikulit saya yang putih,"['sepertinya', 'sudah', 'botol', 'ke', 'apa', 'begitu', 'secocok', 'itu', 'dikulit', 'saya', 'yang', 'normal', 'cenderung', 'kering', 'enaknya', 'karena', 'enggak', 'ada', 'white', 'cast', 'atau', 'tone', 'up', 'jadi', 'enggak', 'berasa', 'cemong', 'dikulit', 'saya', 'yang', 'putih']","['seperti', 'sudah', 'botol', 'ke', 'apa', 'begitu', 'cocok', 'itu', 'kulit', 'saya', 'yang', 'normal', 'cenderung', 'kering', 'enak', 'karena', 'enggak', 'ada', 'white', 'cast', 'atau', 'tone', 'up', 'jadi', 'enggak', 'asa', 'cemong', 'kulit', 'saya', 'yang', 'putih']"
102,botol kedua enak dikulit gampang menyerap ga ada masalah ke kulitnya mantap,Positif,botol kedua enak dikulit gampang menyerap enggak ada masalah ke kulitnya mantap,"['botol', 'kedua', 'enak', 'dikulit', 'gampang', 'menyerap', 'enggak', 'ada', 'masalah', 'ke', 'kulitnya', 'mantap']","['botol', 'dua', 'enak', 'kulit', 'gampang', 'serap', 'enggak', 'ada', 'masalah', 'ke', 'kulit', 'mantap']"
103,produk tp beda isi cairannya cs ditanya ga membantu bertele tele,Negatif,produk tapi beda isi cairannya customer service ditanya enggak membantu bertele tele,"['produk', 'tapi', 'beda', 'isi', 'cairannya', 'customer', 'service', 'ditanya', 'enggak', 'membantu', 'bertele', 'tele']","['produk', 'tapi', 'beda', 'isi', 'cair', 'customer', 'service', 'tanya', 'enggak', 'bantu', 'tele', 'tele']"
104,kecewa karena isi tidak full seperti saya beli di tempat lain,Negatif,kecewa karena isi tidak full seperti saya beli di tempat lain,"['kecewa', 'karena', 'isi', 'tidak', 'full', 'seperti', 'saya', 'beli', 'di', 'tempat', 'lain']","['kecewa', 'karena', 'isi', 'tidak', 'full', 'seperti', 'saya', 'beli', 'di', 'tempat', 'lain']"
105,terpaksa kasi penilaian jelek untuk admin al el ve yang handle chat karena balasnya asal dan tidak menjawab konsultasi customer dengan baik pertanyan dan jawabannya tidak sesuai asal balas tanpa membaca permasalahan pembeli,Negatif,terpaksa kasih penilaian jelek untuk admin al el ve yang handle chat karena balasnya asal dan tidak menjawab konsultasi customer dengan baik pertanyan dan jawabannya tidak sesuai asal balas tanpa membaca permasalahan pembeli,"['terpaksa', 'kasih', 'penilaian', 'jelek', 'untuk', 'admin', 'al', 'el', 've', 'yang', 'handle', 'chat', 'karena', 'balasnya', 'asal', 'dan', 'tidak', 'menjawab', 'konsultasi', 'customer', 'dengan', 'baik', 'pertanyan', 'dan', 'jawabannya', 'tidak', 'sesuai', 'asal', 'balas', 'tanpa', 'membaca', 'permasalahan', 'pembeli']","['paksa', 'kasih', 'nilai', 'jelek', 'untuk', 'admin', 'al', 'el', 've', 'yang', 'handle', 'chat', 'karena', 'balas', 'asal', 'dan', 'tidak', 'jawab', 'konsultasi', 'customer', 'dengan', 'baik', 'pertanyan', 'dan', 'jawab', 'tidak', 'sesuai', 'asal', 'balas', 'tanpa', 'baca', 'masalah', 'beli']"
106,baru coba semoga cocok recommended seller,Positif,baru coba semoga cocok recommended seller,"['baru', 'coba', 'semoga', 'cocok', 'recommended', 'seller']","['baru', 'coba', 'moga', 'cocok', 'recommended', 'seller']"
107,pertama kali nyoba tinted sunscreen mudahan cocok dan gak oksidasi sesuai klaimnya packing aman kardus ditambah bubble wrap tebel mantappp,Positif,pertama kali mencoba tinted sunscreen mudahan cocok dan enggak oksidasi sesuai klaimnya packing aman kardus ditambah bubble wrap tebal mantap,"['pertama', 'kali', 'mencoba', 'tinted', 'sunscreen', 'mudahan', 'cocok', 'dan', 'enggak', 'oksidasi', 'sesuai', 'klaimnya', 'packing', 'aman', 'kardus', 'ditambah', 'bubble', 'wrap', 'tebal', 'mantap']","['pertama', 'kali', 'coba', 'tinted', 'sunscreen', 'mudah', 'cocok', 'dan', 'enggak', 'oksidasi', 'sesuai', 'klaim', 'packing', 'aman', 'kardus', 'tambah', 'bubble', 'wrap', 'tebal', 'mantap']"
108,pesan barang paket lengkap yg dtg hanya paket,Positif,pesan barang paket lengkap yang datang hanya paket,"['pesan', 'barang', 'paket', 'lengkap', 'yang', 'datang', 'hanya', 'paket']","['pesan', 'barang', 'paket', 'lengkap', 'yang', 'datang', 'hanya', 'paket']"
109,lebih baik sabtu minggu tetap di proses walau kirim nya weekday padahal online gak tahu real or chat bot bikin insecure,Negatif,lebih baik sabtu minggu tetap di proses walau kirim nya weekday padahal online enggak tahu real orang chat bot bikin insecure,"['lebih', 'baik', 'sabtu', 'minggu', 'tetap', 'di', 'proses', 'walau', 'kirim', 'nya', 'weekday', 'padahal', 'online', 'enggak', 'tahu', 'real', 'orang', 'chat', 'bot', 'bikin', 'insecure']","['lebih', 'baik', 'sabtu', 'minggu', 'tetap', 'di', 'proses', 'walau', 'kirim', 'nya', 'weekday', 'padahal', 'online', 'enggak', 'tahu', 'real', 'orang', 'chat', 'bot', 'bikin', 'insecure']"
110,lemot responnya,Negatif,lemot responnya,"['lemot', 'responnya']","['lot', 'responnya']"
111,wtf pas buka tutupnya ternyata yg keputer malah ke tempat moisturizernya langsung tumpah setengah,Negatif,wtf pas buka tutupnya ternyata yang keputer malah ke tempat moisturizernya langsung tumpah setengah,"['wtf', 'pas', 'buka', 'tutupnya', 'ternyata', 'yang', 'keputer', 'malah', 'ke', 'tempat', 'moisturizernya', 'langsung', 'tumpah', 'setengah']","['wtf', 'pas', 'buka', 'tutup', 'nyata', 'yang', 'puter', 'malah', 'ke', 'tempat', 'moisturizernya', 'langsung', 'tumpah', 'tengah']"
112,isi tidak sesuai,Negatif,isi tidak sesuai,"['isi', 'tidak', 'sesuai']","['isi', 'tidak', 'sesuai']"
113,thanks,Positif,thanks,['thanks'],['thanks']
114,well received thanks,Positif,well received thanks,"['well', 'received', 'thanks']","['well', 'received', 'thanks']"
115,barang sampai dengan aman cuma di aku agak ke abuan dikit tp masih bisa ditoleransi thx ya,Positif,barang sampai dengan aman cuma di aku agak ke abuan dikit tapi masih bisa ditoleransi thanks ya,"['barang', 'sampai', 'dengan', 'aman', 'cuma', 'di', 'aku', 'agak', 'ke', 'abuan', 'dikit', 'tapi', 'masih', 'bisa', 'ditoleransi', 'thanks', 'ya']","['barang', 'sampai', 'dengan', 'aman', 'cuma', 'di', 'aku', 'agak', 'ke', 'abuan', 'dikit', 'tapi', 'masih', 'bisa', 'toleransi', 'thanks', 'ya']"
116,produknya biasa saja tapi yg paling parah pelayanannya sangat tidak memuaskan tidak helpfull tidak customer oriented hati kalau belanja disini kesalahan sedikit saja bakal fatal,Negatif,produknya biasa saja tapi yang paling parah pelayanannya sangat tidak memuaskan tidak helpfull tidak customer oriented hati kalau belanja disini kesalahan sedikit saja bakal fatal,"['produknya', 'biasa', 'saja', 'tapi', 'yang', 'paling', 'parah', 'pelayanannya', 'sangat', 'tidak', 'memuaskan', 'tidak', 'helpfull', 'tidak', 'customer', 'oriented', 'hati', 'kalau', 'belanja', 'disini', 'kesalahan', 'sedikit', 'saja', 'bakal', 'fatal']","['produk', 'biasa', 'saja', 'tapi', 'yang', 'paling', 'parah', 'layan', 'sangat', 'tidak', 'muas', 'tidak', 'helpfull', 'tidak', 'customer', 'oriented', 'hati', 'kalau', 'belanja', 'sini', 'salah', 'sedikit', 'saja', 'bakal', 'fatal']"
117,katanya check out jam dapet lm taunya engga boohong banget buat yang mau check out jangan percaya ya,Negatif,katanya check out jam dapat lama taunya enggak berbohong banget buat yang mau check out jangan percaya ya,"['katanya', 'check', 'out', 'jam', 'dapat', 'lama', 'taunya', 'enggak', 'berbohong', 'banget', 'buat', 'yang', 'mau', 'check', 'out', 'jangan', 'percaya', 'ya']","['kata', 'check', 'out', 'jam', 'dapat', 'lama', 'tau', 'enggak', 'bohong', 'banget', 'buat', 'yang', 'mau', 'check', 'out', 'jangan', 'percaya', 'ya']"
118,kecewa pesanan saya dibatalkan yang lain tidak akan pernah mau beli lagi terimakasih alasan saya beli di toko ini adalah karna harga dari pusat normal sedangkan beli di reseller harga melambung jauh sampe rb kecewa udh ganti produk eye care lain makasih saya beli tetapi dibatalkan sama somethinc jahat bgt pesannya pake usaha juga kalau tidak beli eye game changer ini di sini mau beli dmn lagi di stockist harganya beda rb rb makasih belum lagi kadang pre order sungguh kecewa saya beli di official mana pun bs beli banyak makasih,Negatif,kecewa pesanan saya dibatalkan yang lain tidak akan pernah mau beli lagi terima kasih alasan saya beli di toko ini adalah karena harga dari pusat normal sedangkan beli di reseller harga melambung jauh sampai ribu kecewa sudah ganti produk eye care lain terima kasih saya beli tetapi dibatalkan sama somethinc jahat banget pesannya pakai usaha juga kalau tidak beli eye game changer ini di sini mau beli dimana lagi di stockist harganya beda ribu ribu terima kasih belum lagi kadang pre order sungguh kecewa saya beli di official mana pun bisa beli banyak terima kasih,"['kecewa', 'pesanan', 'saya', 'dibatalkan', 'yang', 'lain', 'tidak', 'akan', 'pernah', 'mau', 'beli', 'lagi', 'terima', 'kasih', 'alasan', 'saya', 'beli', 'di', 'toko', 'ini', 'adalah', 'karena', 'harga', 'dari', 'pusat', 'normal', 'sedangkan', 'beli', 'di', 'reseller', 'harga', 'melambung', 'jauh', 'sampai', 'ribu', 'kecewa', 'sudah', 'ganti', 'produk', 'eye', 'care', 'lain', 'terima', 'kasih', 'saya', 'beli', 'tetapi', 'dibatalkan', 'sama', 'somethinc', 'jahat', 'banget', 'pesannya', 'pakai', 'usaha', 'juga', 'kalau', 'tidak', 'beli', 'eye', 'game', 'changer', 'ini', 'di', 'sini', 'mau', 'beli', 'dimana', 'lagi', 'di', 'stockist', 'harganya', 'beda', 'ribu', 'ribu', 'terima', 'kasih', 'belum', 'lagi', 'kadang', 'pre', 'order', 'sungguh', 'kecewa', 'saya', 'beli', 'di', 'official', 'mana', 'pun', 'bisa', 'beli', 'banyak', 'terima', 'kasih']","['kecewa', 'pesan', 'saya', 'batal', 'yang', 'lain', 'tidak', 'akan', 'pernah', 'mau', 'beli', 'lagi', 'terima', 'kasih', 'alas', 'saya', 'beli', 'di', 'toko', 'ini', 'adalah', 'karena', 'harga', 'dari', 'pusat', 'normal', 'sedang', 'beli', 'di', 'reseller', 'harga', 'lambung', 'jauh', 'sampai', 'ribu', 'kecewa', 'sudah', 'ganti', 'produk', 'eye', 'care', 'lain', 'terima', 'kasih', 'saya', 'beli', 'tetapi', 'batal', 'sama', 'somethinc', 'jahat', 'banget', 'pesan', 'pakai', 'usaha', 'juga', 'kalau', 'tidak', 'beli', 'eye', 'game', 'changer', 'ini', 'di', 'sini', 'mau', 'beli', 'mana', 'lagi', 'di', 'stockist', 'harga', 'beda', 'ribu', 'ribu', 'terima', 'kasih', 'belum', 'lagi', 'kadang', 'pre', 'order', 'sungguh', 'kecewa', 'saya', 'beli', 'di', 'official', 'mana', 'pun', 'bisa', 'beli', 'banyak', 'terima', 'kasih']"
119,it  beautiful package bintang buat safety nya,Positif,itu  beautiful package bintang buat safety nya,"['itu', 'beautiful', 'package', 'bintang', 'buat', 'safety', 'nya']","['itu', 'beautiful', 'package', 'bintang', 'buat', 'safety', 'nya']"
120,pengiriman agak lama karena beda provinsi tapi gapapa packingnya aman banget semoga cocok dan bisa memperbaiki kulit aku tipe kulitku berminyak,Negatif,pengiriman agak lama karena beda provinsi tapi gapapa packingnya aman banget semoga cocok dan bisa memperbaiki kulit aku tipe kulitku berminyak,"['pengiriman', 'agak', 'lama', 'karena', 'beda', 'provinsi', 'tapi', 'gapapa', 'packingnya', 'aman', 'banget', 'semoga', 'cocok', 'dan', 'bisa', 'memperbaiki', 'kulit', 'aku', 'tipe', 'kulitku', 'berminyak']","['kirim', 'agak', 'lama', 'karena', 'beda', 'provinsi', 'tapi', 'gapapa', 'packingnya', 'aman', 'banget', 'moga', 'cocok', 'dan', 'bisa', 'baik', 'kulit', 'aku', 'tipe', 'kulit', 'minyak']"
121,top,Positif,top,['top'],['top']
122,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,Positif,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'sensitif']","['tipe', 'kulit', 'minyak', 'tipe', 'kulit', 'kering', 'tipe', 'kulit', 'normal', 'tipe', 'kulit', 'kombinasi', 'masalah', 'kulit', 'kerut', 'masalah', 'kulit', 'jerawat', 'masalah', 'kulit', 'pori', 'besar', 'tipe', 'kulit', 'sensitif']"
123,exp,Positif,exp,['exp'],['exp']
124,pertama banget dulu sih beli bagus bgt ya di muka waktu itu kemasan masih biru mungkin sktr tahun yang lalu masih belum viral perskincare an semenjak hamil ud stop pake produk bayi aja ini mau coba lagi karena kangen sensasinya waktu make dulu emang feelnya beda tp smga ngaruh di jerawat yg suka muncul tiba tiba,Netral,pertama banget dulu sih beli bagus banget ya di muka waktu itu kemasan masih biru mungkin sekitar tahun yang lalu masih belum viral perskincare an semenjak hamil sudah stop pakai produk bayi saja ini mau coba lagi karena kangen sensasinya waktu memakai dulu memang feelnya beda tapi semoga ngaruh di jerawat yang suka muncul tiba tiba,"['pertama', 'banget', 'dulu', 'sih', 'beli', 'bagus', 'banget', 'ya', 'di', 'muka', 'waktu', 'itu', 'kemasan', 'masih', 'biru', 'mungkin', 'sekitar', 'tahun', 'yang', 'lalu', 'masih', 'belum', 'viral', 'perskincare', 'an', 'semenjak', 'hamil', 'sudah', 'stop', 'pakai', 'produk', 'bayi', 'saja', 'ini', 'mau', 'coba', 'lagi', 'karena', 'kangen', 'sensasinya', 'waktu', 'memakai', 'dulu', 'memang', 'feelnya', 'beda', 'tapi', 'semoga', 'ngaruh', 'di', 'jerawat', 'yang', 'suka', 'muncul', 'tiba', 'tiba']","['pertama', 'banget', 'dulu', 'sih', 'beli', 'bagus', 'banget', 'ya', 'di', 'muka', 'waktu', 'itu', 'kemas', 'masih', 'biru', 'mungkin', 'sekitar', 'tahun', 'yang', 'lalu', 'masih', 'belum', 'viral', 'perskincare', 'an', 'semenjak', 'hamil', 'sudah', 'stop', 'pakai', 'produk', 'bayi', 'saja', 'ini', 'mau', 'coba', 'lagi', 'karena', 'kangen', 'sensasi', 'waktu', 'pakai', 'dulu', 'memang', 'feelnya', 'beda', 'tapi', 'moga', 'ngaruh', 'di', 'jerawat', 'yang', 'suka', 'muncul', 'tiba', 'tiba']"
125,tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif,Positif,tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'sensitif']","['tipe', 'kulit', 'minyak', 'tipe', 'kulit', 'normal', 'tipe', 'kulit', 'kering', 'tipe', 'kulit', 'kombinasi', 'masalah', 'kulit', 'jerawat', 'masalah', 'kulit', 'kerut', 'masalah', 'kulit', 'pori', 'besar', 'tipe', 'kulit', 'sensitif']"
126,barang sesuai pesanan,Positif,barang sesuai pesanan,"['barang', 'sesuai', 'pesanan']","['barang', 'sesuai', 'pesan']"
127,pengiriman oke saran untuk facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak soalnya baunya kurang begitu nyama digunakan,Positif,pengiriman oke saran untuk facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak soalnya baunya kurang begitu nyaman digunakan,"['pengiriman', 'oke', 'saran', 'untuk', 'facial', 'wash', 'nya', 'mungkin', 'perlu', 'ditambahkan', 'fragrance', 'biar', 'baunya', 'lebih', 'enak', 'soalnya', 'baunya', 'kurang', 'begitu', 'nyaman', 'digunakan']","['kirim', 'oke', 'saran', 'untuk', 'facial', 'wash', 'nya', 'mungkin', 'perlu', 'tambah', 'fragrance', 'biar', 'bau', 'lebih', 'enak', 'soal', 'bau', 'kurang', 'begitu', 'nyaman', 'guna']"
128,moga cocok soalnya dulu cocok bgt pake ini,Positif,moga cocok soalnya dulu cocok banget pakai ini,"['moga', 'cocok', 'soalnya', 'dulu', 'cocok', 'banget', 'pakai', 'ini']","['moga', 'cocok', 'soal', 'dulu', 'cocok', 'banget', 'pakai', 'ini']"
129,pengiriman cepat mantabbb,Netral,pengiriman cepat mantap,"['pengiriman', 'cepat', 'mantap']","['kirim', 'cepat', 'mantap']"
130,alhamdulillah udh smp barangnya dan pengemasan barangnya juga ok thank you kurir sicepat team avoskin,Negatif,alhamdulillah sudah sampai barangnya dan pengemasan barangnya juga ok thank you kurir sicepat team avoskin,"['alhamdulillah', 'sudah', 'sampai', 'barangnya', 'dan', 'pengemasan', 'barangnya', 'juga', 'ok', 'thank', 'you', 'kurir', 'sicepat', 'team', 'avoskin']","['alhamdulillah', 'sudah', 'sampai', 'barang', 'dan', 'emas', 'barang', 'juga', 'ok', 'thank', 'you', 'kurir', 'sicepat', 'team', 'avoskin']"
131,bahannya gampang menyerap,Netral,bahannya gampang menyerap,"['bahannya', 'gampang', 'menyerap']","['bahan', 'gampang', 'serap']"
132,bagussss,Netral,bagus,['bagus'],['bagus']
133,baguusssssss,Netral,bagus,['bagus'],['bagus']
134,okelahhhhhhhh,Negatif,oke,['oke'],['oke']
135,dapat gratis mini pouch makasih semoga cocok,Netral,dapat gratis mini pouch terima kasih semoga cocok,"['dapat', 'gratis', 'mini', 'pouch', 'terima', 'kasih', 'semoga', 'cocok']","['dapat', 'gratis', 'mini', 'pouch', 'terima', 'kasih', 'moga', 'cocok']"
136,alhamdulillah barangnya udah sampai semoga ccok dan selau dpt harga diskon yess,Negatif,alhamdulillah barangnya sudah sampai semoga cocok dan selau dapat harga diskon yes,"['alhamdulillah', 'barangnya', 'sudah', 'sampai', 'semoga', 'cocok', 'dan', 'selau', 'dapat', 'harga', 'diskon', 'yes']","['alhamdulillah', 'barang', 'sudah', 'sampai', 'moga', 'cocok', 'dan', 'selau', 'dapat', 'harga', 'diskon', 'yes']"
137,cocok sama produknya,Positif,cocok sama produknya,"['cocok', 'sama', 'produknya']","['cocok', 'sama', 'produk']"
138,sudah berkali kali beli di toko official ini dan setiap kali pembelian selalu amanah thx,Positif,sudah berkali kali beli di toko official ini dan setiap kali pembelian selalu amanah thanks,"['sudah', 'berkali', 'kali', 'beli', 'di', 'toko', 'official', 'ini', 'dan', 'setiap', 'kali', 'pembelian', 'selalu', 'amanah', 'thanks']","['sudah', 'kali', 'kali', 'beli', 'di', 'toko', 'official', 'ini', 'dan', 'tiap', 'kali', 'beli', 'selalu', 'amanah', 'thanks']"
139,barang nya oke,Positif,barang nya oke,"['barang', 'nya', 'oke']","['barang', 'nya', 'oke']"
140,repeat order,Netral,repeat order,"['repeat', 'order']","['repeat', 'order']"
141,masalah kulitku pori besar,Negatif,masalah kulitku pori besar,"['masalah', 'kulitku', 'pori', 'besar']","['masalah', 'kulit', 'pori', 'besar']"
