review_tokens,Sentimen,sentimen
pertama kali mencoba dengan warna kulit saya yang cenderung agak gelap awalnya saya pikir bakal jomplang pas dipakai tapi ternyata blend banget sama kulit warnanya jadi agak lebih cerah tapi bukan jadi tone up juga teksturnya kaya foundy cair cepat nyerap awalnya kaya mate pas sudah kering tapi lama jadi glow up,Positif,"{'classified_text': 'pertama kali mencoba dengan warna kulit saya yang cenderung agak gelap [-1] awalnya saya pikir bakal jomplang pas dipakai tapi ternyata blend banget sama kulit warnanya jadi agak lebih cerah [5] tapi bukan jadi tone up juga teksturnya kaya [3] foundy cair cepat [4] nyerap awalnya kaya [3] mate pas sudah kering tapi lama [-2] jadi glow up', 'tweet_text': ' pertama kali mencoba dengan warna kulit saya yang cenderung agak gelap awalnya saya pikir bakal jomplang pas dipakai tapi ternyata blend banget sama kulit warnanya jadi agak lebih cerah tapi bukan jadi tone up juga teksturnya kaya foundy cair cepat nyerap awalnya kaya mate pas sudah kering tapi lama jadi glow up', 'sentence_score': ['pertama kali mencoba dengan warna kulit saya yang cenderung agak gelap [-1] awalnya saya pikir bakal jomplang pas dipakai tapi ternyata blend banget sama kulit warnanya jadi agak lebih cerah [5] tapi bukan jadi tone up juga teksturnya kaya [3] foundy cair cepat [4] nyerap awalnya kaya [3] mate pas sudah kering tapi lama [-2] jadi glow up'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}"
sepertinya sudah botol ke apa begitu secocok itu dikulit saya yang normal cenderung kering enaknya karena enggak ada white cast atau tone up jadi enggak berasa cemong dikulit saya yang putih,Positif,"{'classified_text': 'sepertinya sudah botol ke apa begitu secocok itu dikulit saya yang normal [-1] cenderung kering enaknya karena enggak ada white cast atau tone up jadi enggak berasa cemong dikulit saya yang putih', 'tweet_text': ' sepertinya sudah botol ke apa begitu secocok itu dikulit saya yang normal cenderung kering enaknya karena enggak ada white cast atau tone up jadi enggak berasa cemong dikulit saya yang putih', 'sentence_score': ['sepertinya sudah botol ke apa begitu secocok itu dikulit saya yang normal [-1] cenderung kering enaknya karena enggak ada white cast atau tone up jadi enggak berasa cemong dikulit saya yang putih'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
botol kedua enak dikulit gampang menyerap enggak ada masalah ke kulitnya mantap,Positif,"{'classified_text': 'botol kedua enak [4] dikulit gampang menyerap [1] enggak ada masalah [-4] ke kulitnya mantap [4]', 'tweet_text': ' botol kedua enak dikulit gampang menyerap enggak ada masalah ke kulitnya mantap', 'sentence_score': ['botol kedua enak [4] dikulit gampang menyerap [1] enggak ada masalah [-4] ke kulitnya mantap [4]'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}"
produk tapi beda isi cairannya customer service ditanya enggak membantu bertele tele,Negatif,"{'classified_text': 'produk tapi beda isi cairannya customer service ditanya enggak membantu [-4] bertele tele', 'tweet_text': ' produk tapi beda isi cairannya customer service ditanya enggak membantu bertele tele', 'sentence_score': ['produk tapi beda isi cairannya customer service ditanya enggak membantu [-4] bertele tele'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
kecewa karena isi tidak full seperti saya beli di tempat lain,Negatif,"{'classified_text': 'kecewa [-3] karena isi tidak full seperti [1] saya beli di tempat lain', 'tweet_text': ' kecewa karena isi tidak full seperti saya beli di tempat lain', 'sentence_score': ['kecewa [-3] karena isi tidak full seperti [1] saya beli di tempat lain'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}"
terpaksa kasih penilaian jelek untuk admin al el ve yang handle chat karena balasnya asal dan tidak menjawab konsultasi customer dengan baik pertanyan dan jawabannya tidak sesuai asal balas tanpa membaca permasalahan pembeli,Negatif,"{'classified_text': 'terpaksa kasih penilaian jelek [-4] untuk admin al el ve yang handle chat karena balasnya asal dan tidak menjawab konsultasi customer dengan baik [4] pertanyan dan jawabannya tidak sesuai [-3] asal balas tanpa membaca permasalahan pembeli', 'tweet_text': ' terpaksa kasih penilaian jelek untuk admin al el ve yang handle chat karena balasnya asal dan tidak menjawab konsultasi customer dengan baik pertanyan dan jawabannya tidak sesuai asal balas tanpa membaca permasalahan pembeli', 'sentence_score': ['terpaksa kasih penilaian jelek [-4] untuk admin al el ve yang handle chat karena balasnya asal dan tidak menjawab konsultasi customer dengan baik [4] pertanyan dan jawabannya tidak sesuai [-3] asal balas tanpa membaca permasalahan pembeli'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}"
baru coba semoga cocok recommended seller,Positif,"{'classified_text': 'baru coba semoga cocok [3] recommended seller', 'tweet_text': ' baru coba semoga cocok recommended seller', 'sentence_score': ['baru coba semoga cocok [3] recommended seller'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
pertama kali mencoba tinted sunscreen mudahan cocok dan enggak oksidasi sesuai klaimnya packing aman kardus ditambah bubble wrap tebal mantap,Positif,"{'classified_text': 'pertama kali mencoba tinted sunscreen mudahan cocok [3] dan enggak oksidasi sesuai [3] klaimnya packing aman [4] kardus ditambah bubble wrap tebal mantap [4]', 'tweet_text': ' pertama kali mencoba tinted sunscreen mudahan cocok dan enggak oksidasi sesuai klaimnya packing aman kardus ditambah bubble wrap tebal mantap', 'sentence_score': ['pertama kali mencoba tinted sunscreen mudahan cocok [3] dan enggak oksidasi sesuai [3] klaimnya packing aman [4] kardus ditambah bubble wrap tebal mantap [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
pesan barang paket lengkap yang datang hanya paket,Positif,"{'classified_text': 'pesan barang paket lengkap yang datang hanya paket', 'tweet_text': ' pesan barang paket lengkap yang datang hanya paket', 'sentence_score': ['pesan barang paket lengkap yang datang hanya paket'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
lebih baik sabtu minggu tetap di proses walau kirim nya weekday padahal online enggak tahu real orang chat bot bikin insecure,Negatif,"{'classified_text': 'lebih baik [5] sabtu minggu tetap di proses walau kirim nya weekday padahal online enggak tahu real orang chat bot bikin insecure', 'tweet_text': ' lebih baik sabtu minggu tetap di proses walau kirim nya weekday padahal online enggak tahu real orang chat bot bikin insecure', 'sentence_score': ['lebih baik [5] sabtu minggu tetap di proses walau kirim nya weekday padahal online enggak tahu real orang chat bot bikin insecure'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
lemot responnya,Negatif,"{'classified_text': 'lemot responnya', 'tweet_text': ' lemot responnya', 'sentence_score': ['lemot responnya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
wtf pas buka tutupnya ternyata yang keputer malah ke tempat moisturizernya langsung tumpah setengah,Negatif,"{'classified_text': 'wtf [-4] pas buka tutupnya ternyata yang keputer malah ke tempat moisturizernya langsung tumpah setengah', 'tweet_text': ' wtf pas buka tutupnya ternyata yang keputer malah ke tempat moisturizernya langsung tumpah setengah', 'sentence_score': ['wtf [-4] pas buka tutupnya ternyata yang keputer malah ke tempat moisturizernya langsung tumpah setengah'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
isi tidak sesuai,Negatif,"{'classified_text': 'isi tidak sesuai [-3]', 'tweet_text': ' isi tidak sesuai', 'sentence_score': ['isi tidak sesuai [-3]'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}"
thanks,Positif,"{'classified_text': 'thanks', 'tweet_text': ' thanks', 'sentence_score': ['thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
well received thanks,Positif,"{'classified_text': 'well received thanks', 'tweet_text': ' well received thanks', 'sentence_score': ['well received thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
barang sampai dengan aman cuma di aku agak ke abuan dikit tapi masih bisa ditoleransi thanks ya,Positif,"{'classified_text': 'barang sampai dengan aman [4] cuma [-2] di aku agak ke abuan dikit tapi masih bisa ditoleransi thanks ya', 'tweet_text': ' barang sampai dengan aman cuma di aku agak ke abuan dikit tapi masih bisa ditoleransi thanks ya', 'sentence_score': ['barang sampai dengan aman [4] cuma [-2] di aku agak ke abuan dikit tapi masih bisa ditoleransi thanks ya'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}"
produknya biasa saja tapi yang paling parah pelayanannya sangat tidak memuaskan tidak helpfull tidak customer oriented hati kalau belanja disini kesalahan sedikit saja bakal fatal,Negatif,"{'classified_text': 'produknya biasa [-2] saja tapi yang paling parah [-6] pelayanannya sangat tidak memuaskan [-3] tidak helpfull tidak customer oriented hati kalau belanja disini kesalahan [-1] sedikit saja bakal fatal', 'tweet_text': ' produknya biasa saja tapi yang paling parah pelayanannya sangat tidak memuaskan tidak helpfull tidak customer oriented hati kalau belanja disini kesalahan sedikit saja bakal fatal', 'sentence_score': ['produknya biasa [-2] saja tapi yang paling parah [-6] pelayanannya sangat tidak memuaskan [-3] tidak helpfull tidak customer oriented hati kalau belanja disini kesalahan [-1] sedikit saja bakal fatal'], 'max_positive': 1, 'max_negative': -6, 'kelas': 'negatif'}"
katanya check out jam dapat lama taunya enggak berbohong banget buat yang mau check out jangan percaya ya,Negatif,"{'classified_text': 'katanya check out jam dapat lama [-2] taunya enggak berbohong [6] banget buat yang mau check out jangan percaya [-4] ya', 'tweet_text': ' katanya check out jam dapat lama taunya enggak berbohong banget buat yang mau check out jangan percaya ya', 'sentence_score': ['katanya check out jam dapat lama [-2] taunya enggak berbohong [6] banget buat yang mau check out jangan percaya [-4] ya'], 'max_positive': 6, 'max_negative': -4, 'kelas': 'positif'}"
kecewa pesanan saya dibatalkan yang lain tidak akan pernah mau beli lagi terima kasih alasan saya beli di toko ini adalah karena harga dari pusat normal sedangkan beli di reseller harga melambung jauh sampai ribu kecewa sudah ganti produk eye care lain terima kasih saya beli tetapi dibatalkan sama somethinc jahat banget pesannya pakai usaha juga kalau tidak beli eye game changer ini di sini mau beli dimana lagi di stockist harganya beda ribu ribu terima kasih belum lagi kadang pre order sungguh kecewa saya beli di official mana pun bisa beli banyak terima kasih,Negatif,"{'classified_text': 'kecewa [-3] pesanan saya dibatalkan [-3] yang lain tidak akan pernah mau beli lagi terima kasih [4] alasan [-2] saya beli di toko ini adalah karena harga dari pusat normal [-1] sedangkan beli di reseller harga melambung jauh [-2] sampai ribu kecewa [-3] sudah ganti produk eye care lain terima kasih [4] saya beli tetapi dibatalkan [-3] sama somethinc jahat [-5] banget pesannya pakai usaha juga kalau tidak beli eye game changer ini di sini mau beli dimana lagi di stockist harganya beda ribu ribu terima kasih [4] belum lagi kadang pre order sungguh kecewa [-4] saya beli di official mana [-4] pun bisa beli banyak terima kasih [4]', 'tweet_text': ' kecewa pesanan saya dibatalkan yang lain tidak akan pernah mau beli lagi terima kasih alasan saya beli di toko ini adalah karena harga dari pusat normal sedangkan beli di reseller harga melambung jauh sampai ribu kecewa sudah ganti produk eye care lain terima kasih saya beli tetapi dibatalkan sama somethinc jahat banget pesannya pakai usaha juga kalau tidak beli eye game changer ini di sini mau beli dimana lagi di stockist harganya beda ribu ribu terima kasih belum lagi kadang pre order sungguh kecewa saya beli di official mana pun bisa beli banyak terima kasih', 'sentence_score': ['kecewa [-3] pesanan saya dibatalkan [-3] yang lain tidak akan pernah mau beli lagi terima kasih [4] alasan [-2] saya beli di toko ini adalah karena harga dari pusat normal [-1] sedangkan beli di reseller harga melambung jauh [-2] sampai ribu kecewa [-3] sudah ganti produk eye care lain terima kasih [4] saya beli tetapi dibatalkan [-3] sama somethinc jahat [-5] banget pesannya pakai usaha juga kalau tidak beli eye game changer ini di sini mau beli dimana lagi di stockist harganya beda ribu ribu terima kasih [4] belum lagi kadang pre order sungguh kecewa [-4] saya beli di official mana [-4] pun bisa beli banyak terima kasih [4]'], 'max_positive': 4, 'max_negative': -5, 'kelas': 'negatif'}"
itu beautiful package bintang buat safety nya,Positif,"{'classified_text': 'itu beautiful package bintang buat safety nya', 'tweet_text': ' itu beautiful package bintang buat safety nya', 'sentence_score': ['itu beautiful package bintang buat safety nya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
pengiriman agak lama karena beda provinsi tapi gapapa packingnya aman banget semoga cocok dan bisa memperbaiki kulit aku tipe kulitku berminyak,Negatif,"{'classified_text': 'pengiriman agak lama [-1] karena beda provinsi tapi gapapa packingnya aman [5] banget semoga cocok [3] dan bisa memperbaiki kulit aku tipe kulitku berminyak', 'tweet_text': ' pengiriman agak lama karena beda provinsi tapi gapapa packingnya aman banget semoga cocok dan bisa memperbaiki kulit aku tipe kulitku berminyak', 'sentence_score': ['pengiriman agak lama [-1] karena beda provinsi tapi gapapa packingnya aman [5] banget semoga cocok [3] dan bisa memperbaiki kulit aku tipe kulitku berminyak'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
top,Positif,"{'classified_text': 'top [4]', 'tweet_text': ' top', 'sentence_score': ['top [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,Positif,"{'classified_text': 'tipe kulitku berminyak tipe kulitku kering tipe kulitku normal [-1] tipe kulitku kombinasi masalah [-4] kulitku kerutan masalah [-4] kulitku jerawat masalah [-4] kulitku pori besar [3] tipe kulitku sensitif [-2]', 'tweet_text': ' tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif', 'sentence_score': ['tipe kulitku berminyak tipe kulitku kering tipe kulitku normal [-1] tipe kulitku kombinasi masalah [-4] kulitku kerutan masalah [-4] kulitku jerawat masalah [-4] kulitku pori besar [3] tipe kulitku sensitif [-2]'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}"
exp,Positif,"{'classified_text': 'exp', 'tweet_text': ' exp', 'sentence_score': ['exp'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
pertama banget dulu sih beli bagus banget ya di muka waktu itu kemasan masih biru mungkin sekitar tahun yang lalu masih belum viral perskincare an semenjak hamil sudah stop pakai produk bayi saja ini mau coba lagi karena kangen sensasinya waktu memakai dulu memang feelnya beda tapi semoga ngaruh di jerawat yang suka muncul tiba tiba,Netral,"{'classified_text': 'pertama banget dulu sih beli bagus [5] banget ya di muka waktu itu kemasan masih biru mungkin sekitar tahun yang lalu masih belum viral perskincare an semenjak hamil sudah stop pakai produk bayi saja ini mau coba lagi karena kangen [4] sensasinya waktu memakai dulu memang feelnya beda tapi semoga ngaruh di jerawat yang suka [4] muncul tiba tiba', 'tweet_text': ' pertama banget dulu sih beli bagus banget ya di muka waktu itu kemasan masih biru mungkin sekitar tahun yang lalu masih belum viral perskincare an semenjak hamil sudah stop pakai produk bayi saja ini mau coba lagi karena kangen sensasinya waktu memakai dulu memang feelnya beda tapi semoga ngaruh di jerawat yang suka muncul tiba tiba', 'sentence_score': ['pertama banget dulu sih beli bagus [5] banget ya di muka waktu itu kemasan masih biru mungkin sekitar tahun yang lalu masih belum viral perskincare an semenjak hamil sudah stop pakai produk bayi saja ini mau coba lagi karena kangen [4] sensasinya waktu memakai dulu memang feelnya beda tapi semoga ngaruh di jerawat yang suka [4] muncul tiba tiba'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif,Positif,"{'classified_text': 'tipe kulitku berminyak tipe kulitku normal [-1] tipe kulitku kering tipe kulitku kombinasi masalah [-4] kulitku jerawat masalah [-4] kulitku kerutan masalah [-4] kulitku pori besar [3] tipe kulitku sensitif [-2]', 'tweet_text': ' tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif', 'sentence_score': ['tipe kulitku berminyak tipe kulitku normal [-1] tipe kulitku kering tipe kulitku kombinasi masalah [-4] kulitku jerawat masalah [-4] kulitku kerutan masalah [-4] kulitku pori besar [3] tipe kulitku sensitif [-2]'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}"
barang sesuai pesanan,Positif,"{'classified_text': 'barang sesuai [3] pesanan', 'tweet_text': ' barang sesuai pesanan', 'sentence_score': ['barang sesuai [3] pesanan'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
pengiriman oke saran untuk facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak soalnya baunya kurang begitu nyaman digunakan,Positif,"{'classified_text': 'pengiriman oke [3] saran untuk facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak [5] soalnya baunya kurang [-2] begitu nyaman [4] digunakan', 'tweet_text': ' pengiriman oke saran untuk facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak soalnya baunya kurang begitu nyaman digunakan', 'sentence_score': ['pengiriman oke [3] saran untuk facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak [5] soalnya baunya kurang [-2] begitu nyaman [4] digunakan'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}"
moga cocok soalnya dulu cocok banget pakai ini,Positif,"{'classified_text': 'moga cocok [3] soalnya dulu cocok [4] banget pakai ini', 'tweet_text': ' moga cocok soalnya dulu cocok banget pakai ini', 'sentence_score': ['moga cocok [3] soalnya dulu cocok [4] banget pakai ini'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
pengiriman cepat mantap,Netral,"{'classified_text': 'pengiriman cepat [4] mantap [5]', 'tweet_text': ' pengiriman cepat mantap', 'sentence_score': ['pengiriman cepat [4] mantap [5]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
alhamdulillah sudah sampai barangnya dan pengemasan barangnya juga ok thank you kurir sicepat team avoskin,Negatif,"{'classified_text': 'alhamdulillah sudah sampai barangnya dan pengemasan barangnya juga ok [1] thank you kurir sicepat team avoskin', 'tweet_text': ' alhamdulillah sudah sampai barangnya dan pengemasan barangnya juga ok thank you kurir sicepat team avoskin', 'sentence_score': ['alhamdulillah sudah sampai barangnya dan pengemasan barangnya juga ok [1] thank you kurir sicepat team avoskin'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
bahannya gampang menyerap,Netral,"{'classified_text': 'bahannya gampang menyerap [1]', 'tweet_text': ' bahannya gampang menyerap', 'sentence_score': ['bahannya gampang menyerap [1]'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
bagus,Netral,"{'classified_text': 'bagus [4]', 'tweet_text': ' bagus', 'sentence_score': ['bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
bagus,Netral,"{'classified_text': 'bagus [4]', 'tweet_text': ' bagus', 'sentence_score': ['bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
oke,Negatif,"{'classified_text': 'oke [3]', 'tweet_text': ' oke', 'sentence_score': ['oke [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
dapat gratis mini pouch terima kasih semoga cocok,Netral,"{'classified_text': 'dapat gratis mini pouch terima kasih [4] semoga cocok [3]', 'tweet_text': ' dapat gratis mini pouch terima kasih semoga cocok', 'sentence_score': ['dapat gratis mini pouch terima kasih [4] semoga cocok [3]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
alhamdulillah barangnya sudah sampai semoga cocok dan selau dapat harga diskon yes,Negatif,"{'classified_text': 'alhamdulillah barangnya sudah sampai semoga cocok [3] dan selau dapat harga diskon yes', 'tweet_text': ' alhamdulillah barangnya sudah sampai semoga cocok dan selau dapat harga diskon yes', 'sentence_score': ['alhamdulillah barangnya sudah sampai semoga cocok [3] dan selau dapat harga diskon yes'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
cocok sama produknya,Positif,"{'classified_text': 'cocok [3] sama produknya', 'tweet_text': ' cocok sama produknya', 'sentence_score': ['cocok [3] sama produknya'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
sudah berkali kali beli di toko official ini dan setiap kali pembelian selalu amanah thanks,Positif,"{'classified_text': 'sudah berkali kali beli di toko official ini dan setiap kali pembelian selalu amanah thanks', 'tweet_text': ' sudah berkali kali beli di toko official ini dan setiap kali pembelian selalu amanah thanks', 'sentence_score': ['sudah berkali kali beli di toko official ini dan setiap kali pembelian selalu amanah thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
barang nya oke,Positif,"{'classified_text': 'barang nya oke [3]', 'tweet_text': ' barang nya oke', 'sentence_score': ['barang nya oke [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
repeat order,Netral,"{'classified_text': 'repeat order', 'tweet_text': ' repeat order', 'sentence_score': ['repeat order'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
masalah kulitku pori besar,Negatif,"{'classified_text': 'masalah [-4] kulitku pori besar [3]', 'tweet_text': ' masalah kulitku pori besar', 'sentence_score': ['masalah [-4] kulitku pori besar [3]'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}"
ini beda nih dari pertama beli first time mencoba jatuh cinta banget waktu itu pilih shade strawberrypine sama raspberry muffin terus ini pembelian kedua merasa ini formulanya beda banget ini lebih berminyak tapi short lasting masa iya habis minum air hilang lah coba itu rugi dong sudahlah aku pindah haluan saja byeee,Negatif,"{'classified_text': 'ini beda nih dari pertama beli first time mencoba jatuh [-3] cinta [6] banget waktu itu pilih shade strawberrypine sama raspberry muffin terus ini pembelian kedua merasa ini formulanya beda banget ini lebih berminyak tapi short lasting masa iya habis minum air hilang [-3] lah coba itu rugi [-4] dong sudahlah aku pindah haluan saja bye', 'tweet_text': ' ini beda nih dari pertama beli first time mencoba jatuh cinta banget waktu itu pilih shade strawberrypine sama raspberry muffin terus ini pembelian kedua merasa ini formulanya beda banget ini lebih berminyak tapi short lasting masa iya habis minum air hilang lah coba itu rugi dong sudahlah aku pindah haluan saja bye', 'sentence_score': ['ini beda nih dari pertama beli first time mencoba jatuh [-3] cinta [6] banget waktu itu pilih shade strawberrypine sama raspberry muffin terus ini pembelian kedua merasa ini formulanya beda banget ini lebih berminyak tapi short lasting masa iya habis minum air hilang [-3] lah coba itu rugi [-4] dong sudahlah aku pindah haluan saja bye'], 'max_positive': 6, 'max_negative': -4, 'kelas': 'positif'}"
tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar overall worth itu,Netral,"{'classified_text': 'tipe kulitku berminyak tipe kulitku sensitif [-2] masalah [-5] kulitku jerawat masalah [-4] kulitku pori besar [3] overall worth itu', 'tweet_text': ' tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar overall worth itu', 'sentence_score': ['tipe kulitku berminyak tipe kulitku sensitif [-2] masalah [-5] kulitku jerawat masalah [-4] kulitku pori besar [3] overall worth itu'], 'max_positive': 3, 'max_negative': -5, 'kelas': 'negatif'}"
kecepatan pengiriman baik ada bubble warp,Netral,"{'classified_text': 'kecepatan pengiriman baik [4] ada bubble warp', 'tweet_text': ' kecepatan pengiriman baik ada bubble warp', 'sentence_score': ['kecepatan pengiriman baik [4] ada bubble warp'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,Netral,"{'classified_text': 'tipe kulitku sensitif [-2] masalah [-5] kulitku jerawat masalah [-4] kulitku pori besar [3]', 'tweet_text': ' tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar', 'sentence_score': ['tipe kulitku sensitif [-2] masalah [-5] kulitku jerawat masalah [-4] kulitku pori besar [3]'], 'max_positive': 3, 'max_negative': -5, 'kelas': 'negatif'}"
dapat harga ceban yay belum dicoba,Netral,"{'classified_text': 'dapat harga ceban yay belum dicoba', 'tweet_text': ' dapat harga ceban yay belum dicoba', 'sentence_score': ['dapat harga ceban yay belum dicoba'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
pembelian kesekian kalinya cocok di muka apalagi kalo pas jerawatan kulitnya tetap bisa bernafas,Netral,"{'classified_text': 'pembelian kesekian kalinya cocok [3] di muka apalagi kalo pas jerawatan kulitnya tetap bisa bernafas', 'tweet_text': ' pembelian kesekian kalinya cocok di muka apalagi kalo pas jerawatan kulitnya tetap bisa bernafas', 'sentence_score': ['pembelian kesekian kalinya cocok [3] di muka apalagi kalo pas jerawatan kulitnya tetap bisa bernafas'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
ternyata dapat ya baru pertama kali semoga cocok,Netral,"{'classified_text': 'ternyata dapat ya baru pertama kali semoga cocok [3]', 'tweet_text': ' ternyata dapat ya baru pertama kali semoga cocok', 'sentence_score': ['ternyata dapat ya baru pertama kali semoga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
mudahan cocok terima kasih,Positif,"{'classified_text': 'mudahan cocok [3] terima kasih [4]', 'tweet_text': ' mudahan cocok terima kasih', 'sentence_score': ['mudahan cocok [3] terima kasih [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
sudah sering beli ini dan selalu cocok,Netral,"{'classified_text': 'sudah sering beli ini dan selalu cocok [3]', 'tweet_text': ' sudah sering beli ini dan selalu cocok', 'sentence_score': ['sudah sering beli ini dan selalu cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
barang datang dengan selamat walau agak lama datangnya,Netral,"{'classified_text': 'barang datang dengan selamat [4] walau agak lama [-1] datangnya', 'tweet_text': ' barang datang dengan selamat walau agak lama datangnya', 'sentence_score': ['barang datang dengan selamat [4] walau agak lama [-1] datangnya'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
packing nya bagus banget untuk cream dengan harga segitu tekstur ringan cepat meresap di kulit enggak ada bau menyengat sama sekali semoga cocok di kulit aku yang kering tapi bruntusan terima kasih,Positif,"{'classified_text': 'packing nya bagus [5] banget untuk cream dengan harga segitu tekstur ringan cepat [4] meresap di kulit enggak ada bau [-4] menyengat sama sekali semoga cocok [3] di kulit aku yang kering tapi bruntusan terima kasih [4]', 'tweet_text': ' packing nya bagus banget untuk cream dengan harga segitu tekstur ringan cepat meresap di kulit enggak ada bau menyengat sama sekali semoga cocok di kulit aku yang kering tapi bruntusan terima kasih', 'sentence_score': ['packing nya bagus [5] banget untuk cream dengan harga segitu tekstur ringan cepat [4] meresap di kulit enggak ada bau [-4] menyengat sama sekali semoga cocok [3] di kulit aku yang kering tapi bruntusan terima kasih [4]'], 'max_positive': 5, 'max_negative': -4, 'kelas': 'positif'}"
terima kasih,Netral,"{'classified_text': 'terima kasih [4]', 'tweet_text': ' terima kasih', 'sentence_score': ['terima kasih [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
bahannya ringan mudah menyerap cocok di kulit aku yang berjerawat enggak bikin breakout the best pokoknya,Netral,"{'classified_text': 'bahannya ringan mudah [3] menyerap [1] cocok [4] di kulit aku yang berjerawat enggak bikin breakout the best pokoknya', 'tweet_text': ' bahannya ringan mudah menyerap cocok di kulit aku yang berjerawat enggak bikin breakout the best pokoknya', 'sentence_score': ['bahannya ringan mudah [3] menyerap [1] cocok [4] di kulit aku yang berjerawat enggak bikin breakout the best pokoknya'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulitku kombinasi masalah kulitku jerawat,Netral,"{'classified_text': 'tipe kulitku kombinasi masalah [-4] kulitku jerawat', 'tweet_text': ' tipe kulitku kombinasi masalah kulitku jerawat', 'sentence_score': ['tipe kulitku kombinasi masalah [-4] kulitku jerawat'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
